platform,base,quote,liquidity old, liquidity new,diff,1Inch avg slippage
all,WBNB,BTCB,7764.265791659554,9536.151675658173,22.82%,0%
all,BTCB,WBNB,60.93617982930029,69.86334499590447,14.65%,0%
all,WBNB,USDC,7805.54025757154,8273.85787553635,6%,0%
all,USDC,WBNB,4367700.8606151035,5079542.06517404,16.3%,0%
all,WBNB,ETH,3836.563846803918,3924.9567794763707,2.3%,0%
all,ETH,WBNB,495.6141362255119,495.88562673402265,0.05%,0%
all,WBNB,USDT,8523.32004862078,8579.049568450084,0.65%,0%
all,USDT,WBNB,4707549.474164378,4744884.536592656,0.79%,0%
all,WBNB,FDUSD,1685.948278901403,1726.6960263747883,2.42%,0%
all,FDUSD,WBNB,1463244.2992576575,1463930.3007154535,0.05%,0%
all,WBNB,wBETH,2399.5870845334616,2544.9754204725937,6.06%,0%
all,wBETH,WBNB,427.1731462582104,468.99150681414085,9.79%,0%
all,WBNB,lisUSD,4843.336850257826,7809.054606739131,61.23%,0%
all,lisUSD,WBNB,1164975.5325435079,1279874.1631273665,9.86%,0%
all,WBNB,SnBNB,3307.486346756459,3307.486346756459,0%,0%
all,SnBNB,WBNB,4263.481993802869,4263.481993802869,0%,0%
all,WBNB,slisBNB,3307.4870955830065,3307.4870972197336,0%,0%
all,slisBNB,WBNB,4263.485169953187,4263.485169953179,0%,0%
all,BTCB,USDC,23.28290608676131,53.27221591899474,128.8%,0%
all,USDC,BTCB,1699974.3597794012,4593857.373577418,170.23%,0%
all,BTCB,ETH,144.38642911584014,161.29587244944062,11.71%,0%
all,ETH,BTCB,2408.249886536933,2550.541455278183,5.91%,0%
all,BTCB,USDT,45.083626855445424,67.54984161205711,49.83%,0%
all,USDT,BTCB,3206609.6529065175,4461545.618524527,39.14%,0%
all,BTCB,FDUSD,11.836715866917967,15.201309874519755,28.43%,0%
all,FDUSD,BTCB,1207825.0855225879,1468962.5545931503,21.62%,0%
all,BTCB,wBETH,22.11061285439849,21.92968890863731,-0.82%,0%
all,wBETH,BTCB,1151.676005972284,1301.538723935666,13.01%,0%
all,BTCB,lisUSD,16.67367647725733,53.451483365840716,220.57%,0%
all,lisUSD,BTCB,904198.8652296092,1295052.848905852,43.23%,0%
all,BTCB,SnBNB,16.581506774386522,29.25887719008336,76.45%,0%
all,SnBNB,BTCB,2120.947186743785,4065.2005822988117,91.67%,0%
all,BTCB,slisBNB,16.581507965264986,29.25887719008336,76.45%,0%
all,slisBNB,BTCB,2120.9496926552088,4065.2030108460194,91.67%,0%
all,USDC,ETH,625794.3346638103,2303093.299671851,268.03%,0%
all,ETH,USDC,171.66690488378305,472.1994769802293,175.07%,0%
all,USDC,USDT,27254775.1189077,27280601.20580906,0.09%,0%
all,USDT,USDC,29807338.081670973,29824832.234436225,0.06%,0%
all,USDC,FDUSD,997843.4420320685,999768.4039740744,0.19%,0%
all,FDUSD,USDC,1530397.943146451,1530404.945247032,0%,0%
all,USDC,wBETH,567438.0020719179,1403298.1367963294,147.3%,0%
all,wBETH,USDC,154.78199310792525,383.71680705739993,147.91%,0%
all,USDC,lisUSD,27402334.671033386,28043417.46058672,2.34%,0%
all,lisUSD,USDC,1319470.1212338065,1320988.4932480496,0.12%,0%
all,USDC,SnBNB,179384.16813534885,1836322.4000000001,923.68%,0%
all,SnBNB,USDC,303.55819395398413,3351.9952666569184,1004.23%,0%
all,USDC,slisBNB,179384.1734750235,1836322.4000000001,923.68%,0%
all,slisBNB,USDC,303.56062214182833,3351.997327596111,1004.23%,0%
all,USDC,ezETH,38413.69202895238,38407.8,-0.02%,0%
all,ezETH,USDC,11.92472256038074,16.555295312598723,38.83%,0%
all,ETH,USDT,423.022456382205,478.1074697665233,13.02%,0%
all,USDT,ETH,1696042.0861346466,2164396.8580723554,27.61%,0%
all,ETH,FDUSD,75.73280543495257,316.37339363243,317.75%,0%
all,FDUSD,ETH,325361.3080841582,1463650.1981798292,349.85%,0%
all,ETH,wBETH,452.0892953296892,452.09078354373827,0%,0%
all,wBETH,ETH,1304.9681453429184,1304.9681453451592,0%,0%
all,ETH,lisUSD,96.59814413212978,431.87782623969764,347.09%,0%
all,lisUSD,ETH,366149.1621865245,1216254.5182745962,232.17%,0%
all,ETH,SnBNB,280.18858507247694,470.32585271646025,67.86%,0%
all,SnBNB,ETH,2130.1180639017875,4018.1246999412097,88.63%,0%
all,ETH,slisBNB,280.1885999489847,470.32585271646025,67.86%,0%
all,slisBNB,ETH,2130.120590113152,4018.123452408271,88.63%,0%
all,ETH,ezETH,12.605986741929296,12.605986741929296,0%,0%
all,ezETH,ETH,17.182036851364828,17.182036851364828,0%,0%
all,USDT,FDUSD,937094.0525104585,937143.986602921,0.01%,0%
all,FDUSD,USDT,1463412.4963269222,1463412.4942601363,0%,0%
all,USDT,wBETH,1298916.8010919082,1398919.3418145906,7.7%,0%
all,wBETH,USDT,358.12557117404515,432.4419118389729,20.75%,0%
all,USDT,lisUSD,31318690.21785071,31318510.709025066,0%,0%
all,lisUSD,USDT,1336771.505513811,1336781.0999863748,0%,0%
all,USDT,SnBNB,1542888.6658177946,1828303.9897874007,18.5%,0%
all,SnBNB,USDT,3176.0740091757852,4065.2005822988117,27.99%,0%
all,USDT,slisBNB,1542888.888055411,1828304.9954235484,18.5%,0%
all,slisBNB,USDT,3176.076989221637,4065.2032912858667,27.99%,0%
all,FDUSD,wBETH,294417.9183195933,1355231.5125502364,360.31%,0%
all,wBETH,FDUSD,68.68555531371395,303.9696445413412,342.55%,0%
all,FDUSD,lisUSD,1461425.8476827291,1463414.4270977676,0.14%,0%
all,lisUSD,FDUSD,840566.6599404296,976612.8166096085,16.19%,0%
all,FDUSD,SnBNB,5676.974285142162,1463412.8805707963,25678.04%,0%
all,SnBNB,FDUSD,9.746689198814105,1747.1857524857671,17825.94%,0%
all,FDUSD,slisBNB,5676.979575529252,1463412.8805707963,25678.02%,0%
all,slisBNB,FDUSD,9.749117744371762,1747.1847054444015,17821.46%,0%
all,wBETH,lisUSD,86.89389826265163,379.26487101882225,336.47%,0%
all,lisUSD,wBETH,335005.7029344376,843110.357853255,151.67%,0%
all,wBETH,SnBNB,254.27159376514422,408.5299222909503,60.67%,0%
all,SnBNB,wBETH,1857.7795514444945,2421.276288739584,30.33%,0%
all,wBETH,slisBNB,254.2716110999896,408.5299222909503,60.67%,0%
all,slisBNB,wBETH,1857.781581061893,2421.2760608042345,30.33%,0%
all,lisUSD,SnBNB,10242.424215871417,1166374.4871650687,11287.68%,0%
all,SnBNB,lisUSD,16.771953845448863,3282.9463802942323,19474.02%,0%
all,lisUSD,slisBNB,10242.431413818042,1166374.4871650687,11287.67%,0%
all,slisBNB,lisUSD,16.774382403573515,3282.94880884144,19471.21%,0%
